0;-1.5708;0;-1.5708;0;0;0;
-2.11357e-06;-1.57079;-2.16776e-06;-1.57079;0;0;0;
-4.23932e-06;-1.57079;-4.34801e-06;-1.57079;0;0;0;
-6.35251e-06;-1.57079;-6.5154e-06;-1.57079;0;0;0;
-8.4779e-06;-1.57079;-8.69527e-06;-1.57079;0;0;0;
-1.06031e-05;-1.57079;-1.0875e-05;-1.57079;0;0;0;
-1.27157e-05;-1.57078;-1.30418e-05;-1.57078;0;0;0;
-1.48406e-05;-1.57078;-1.52211e-05;-1.57078;0;0;0;
-1.69529e-05;-1.57078;-1.73875e-05;-1.57078;0;0;0;
-1.90773e-05;-1.57078;-1.95665e-05;-1.57078;0;0;0;
-2.12016e-05;-1.57077;-2.17452e-05;-1.57078;0;0;0;
-2.33133e-05;-1.57077;-2.39111e-05;-1.57077;0;0;0;
-2.54434e-05;-1.57077;-2.60957e-05;-1.57077;0;0;0;
-2.75547e-05;-1.57077;-2.82612e-05;-1.57077;0;0;0;
-2.96783e-05;-1.57076;-3.04392e-05;-1.57077;0;0;0;
-3.18016e-05;-1.57076;-3.2617e-05;-1.57076;0;0;0;
-3.39124e-05;-1.57076;-3.47819e-05;-1.57076;0;0;0;
-3.60354e-05;-1.57076;-3.69593e-05;-1.57076;0;0;0;
-3.81459e-05;-1.57076;-3.91239e-05;-1.57076;0;0;0;
-4.02685e-05;-1.57075;-4.13009e-05;-1.57076;0;0;0;
-4.23857e-05;-1.57075;-4.34724e-05;-1.57075;0;0;0;
-4.44956e-05;-1.57075;-4.56363e-05;-1.57075;0;0;0;
-4.66176e-05;-1.57075;-4.78128e-05;-1.57075;0;0;0;
-4.87271e-05;-1.57074;-4.99764e-05;-1.57075;0;0;0;
-5.08488e-05;-1.57074;-5.21524e-05;-1.57075;0;0;0;
-5.29703e-05;-1.57074;-5.43283e-05;-1.57074;0;0;0;
-5.50793e-05;-1.57074;-5.64914e-05;-1.57074;0;0;0;
-5.72004e-05;-1.57074;-5.86669e-05;-1.57074;0;0;0;
-5.9309e-05;-1.57073;-6.08295e-05;-1.57074;0;0;0;
-6.14298e-05;-1.57073;-6.30046e-05;-1.57074;0;0;0;
